MMWR_week,case_count,death_count
10,518,6
10,518,2
10,518,2
10,518,2
11,2312,29
11,2312,5
11,2312,2
11,2312,2
12,7629,53
12,7629,2
12,7629,2
12,7629,2
13,10716,78
13,10716,2
13,10716,0
13,10716,0
14,12401,91
14,12401,8
14,12401,2
14,12401,0
15,11414,79
15,11414,5
15,11414,0
15,11414,0
16,9956,60
16,9956,8
16,9956,2
16,9956,0
17,9475,46
17,9475,6
17,9475,2
17,9475,2
18,8695,46
18,8695,5
18,8695,0
18,8695,0
19,7163,22
19,7163,2
19,7163,2
19,7163,0
20,6469,28
20,6469,7
20,6469,0
20,6469,0
21,5909,22
21,5909,2
21,5909,2
21,5909,0
22,4685,18
22,4685,2
22,4685,2
22,4685,0
23,4365,8
23,4365,2
23,4365,2
23,4365,0
24,6358,21
24,6358,2
24,6358,2
24,6358,2
25,6007,16
25,6007,10
25,6007,2
25,6007,2
26,7545,16
26,7545,10
26,7545,5
26,7545,0
27,8323,22
27,8323,14
27,8323,2
27,8323,0
28,9740,26
28,9740,8
28,9740,2
28,9740,0
29,9281,18
29,9281,19
29,9281,2
29,9281,0
30,8471,21
30,8471,28
30,8471,2
30,8471,0
31,8383,21
31,8383,22
31,8383,2
31,8383,0
32,7946,16
32,7946,39
32,7946,2
32,7946,0
33,7380,15
33,7380,32
33,7380,2
33,7380,0
34,7227,22
34,7227,33
34,7227,2
34,7227,0
35,6932,17
35,6932,27
35,6932,2
35,6932,0
36,6562,13
36,6562,36
36,6562,0
36,6562,0
37,6876,17
37,6876,29
37,6876,2
37,6876,0
38,7942,12
38,7942,23
38,7942,0
39,8301,12
39,8301,16
39,8301,2
40,9281,18
40,9281,25
40,9281,5
41,10530,17
41,10530,18
41,10530,2
42,11304,20
42,11304,12
42,11304,2
43,13542,24
43,13542,12
43,13542,2
44,16256,37
44,16256,11
44,16256,2
45,20492,45
45,20492,22
45,20492,2
46,22313,43
46,22313,19
46,22313,2
47,24162,50
47,24162,21
47,24162,2
48,23076,53
48,23076,28
48,23076,2
49,27100,76
49,27100,22
49,27100,2
50,25975,65
50,25975,15
50,25975,2
51,23313,60
51,23313,28
51,23313,2
52,21532,72
52,21532,21
52,21532,2
53,24134,67
1,21611,56
1,21611,29
1,21611,2
2,15648,34
2,15648,35
2,15648,2
3,11865,22
3,11865,20
3,11865,0
4,8945,16
4,8945,11
4,8945,2
5,6341,13
5,6341,9
5,6341,0
6,4455,12
6,4455,7
6,4455,0
7,3515,7
7,3515,6
7,3515,2
8,3205,2
8,3205,7
8,3205,0
9,2824,2
9,2824,0
9,2824,0
10,2914,6
10,2914,2
10,2914,2
10,2914,2
11,3027,29
11,3027,5
11,3027,2
11,3027,2
12,3451,53
12,3451,2
12,3451,2
12,3451,2
13,3517,78
13,3517,2
13,3517,0
13,3517,0
14,4066,91
14,4066,8
14,4066,2
14,4066,0
15,3725,79
15,3725,5
15,3725,0
15,3725,0
16,3642,60
16,3642,8
16,3642,2
16,3642,0
17,3369,46
17,3369,6
17,3369,2
17,3369,2
18,2874,46
18,2874,5
18,2874,0
18,2874,0
19,2473,22
19,2473,2
19,2473,2
19,2473,0
20,1977,28
20,1977,7
20,1977,0
20,1977,0
21,1384,22
21,1384,2
21,1384,2
21,1384,0
22,1270,18
22,1270,2
22,1270,2
22,1270,0
23,1165,8
23,1165,2
23,1165,2
23,1165,0
24,1228,21
24,1228,2
24,1228,2
24,1228,2
25,1475,16
25,1475,10
25,1475,2
25,1475,2
26,1854,16
26,1854,10
26,1854,5
26,1854,0
27,2677,22
27,2677,14
27,2677,2
27,2677,0
28,3734,26
28,3734,8
28,3734,2
28,3734,0
29,5240,18
29,5240,19
29,5240,2
29,5240,0
30,6459,21
30,6459,28
30,6459,2
30,6459,0
31,7508,21
31,7508,22
31,7508,2
31,7508,0
